Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,CLTV,Gender_Male,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Avg_Monthly_Spend,Tenure_Bucket,Num_Services_Subscribed,Charges_Per_Tenure
0,0,0,-1.2367242199587352,1,1,-0.3626603559551803,-0.9580659010627455,1,-0.9816754877591304,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3509658683858858,0,2,1.3964241971165443
0,0,1,-1.2367242199587352,1,1,0.19736523310080326,-0.9388744441030343,1,-1.4364617989116963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.36760245467406755,0,0,2.0404032218840493
0,0,1,-0.9924020376385531,1,1,1.1595456961969886,-0.6437892489880273,1,0.821408530249091,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.2509459276770791,0,3,0.607852453632696
0,1,1,-0.1779947632379461,1,1,1.330710787214099,0.33808539553347106,1,0.5094826030831118,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1.4566051373804454,2,4,-0.24729388052853946
0,0,1,0.6771328748826912,1,1,1.2941512532104444,1.2161496993050833,1,0.7943580433403883,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1.2581855498857173,3,4,-0.42383888843993717
0,1,0,-0.9109613101984924,1,0,-0.31779183695069496,-0.7726808386611219,1,1.2888747571401113,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-0.39193252220631536,0,2,-0.08627366541128198
1,0,0,-1.2774445836787656,0,1,-0.8346107040023594,-0.988286930987808,1,0.8729735209188058,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.8275335952888665,0,2,1.6114023582036194
0,0,0,-1.2774445836787656,1,0,-1.4827115340671475,-0.9968899979007819,1,0.3649315636647312,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.4717672642391695,0,0,0.4935159205508293
0,1,1,0.5956921474426305,1,1,1.1495749141959914,1.0894640242250588,1,1.1739101877781244,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1.2008359356691196,2,3,-0.4243213949792659
0,1,0,-1.2774445836787656,0,0,-1.1486903370337564,-0.9924561095687108,1,-1.2555616677097463,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.1397391425493977,0,1,1.0696573922641903
